# DAL@TOR (Sun 3pm) + IND@LVA (Sun 7pm) -- points
Marina Mabrey | points | 23.5 | MORE | std
Paige Bueckers | points | 21.5 | MORE | std
Arike Ogunbowale | points | 12.5 | MORE | std
Azzi Fudd | points | 14.5 | MORE | std
Jessica Shepard | points | 13.5 | MORE | std
Nyara Sabally | points | 11.5 | MORE | std
A'ja Wilson | points | 25.5 | MORE | std
Kelsey Mitchell | points | 23.5 | MORE | std
Jackie Young | points | 18.5 | MORE | std
Aliyah Boston | points | 17.5 | MORE | std
Chelsea Gray | points | 12.5 | MORE | std
NaLyssa Smith | points | 11 | MORE | std
Lexie Hull | points | 7.5 | MORE | std
Monique Billings | points | 8.5 | MORE | std
# rebounds
Jessica Shepard | rebounds | 11.5 | MORE | std
Nyara Sabally | rebounds | 3.5 | MORE | goblin
Marina Mabrey | rebounds | 2.5 | MORE | goblin
Paige Bueckers | rebounds | 4 | MORE | std
Arike Ogunbowale | rebounds | 2.5 | MORE | goblin
Azzi Fudd | rebounds | 2.5 | MORE | std
A'ja Wilson | rebounds | 10 | MORE | std
Aliyah Boston | rebounds | 8.5 | MORE | std
NaLyssa Smith | rebounds | 6.5 | MORE | std
Jackie Young | rebounds | 5 | MORE | std
Monique Billings | rebounds | 5 | MORE | std
Chelsea Gray | rebounds | 4 | MORE | std
Kelsey Mitchell | rebounds | 1.5 | MORE | goblin
# assists
Paige Bueckers | assists | 5.5 | MORE | goblin
Jessica Shepard | assists | 5 | MORE | std
Marina Mabrey | assists | 4 | MORE | std
Arike Ogunbowale | assists | 2.5 | MORE | std
Azzi Fudd | assists | 1.5 | MORE | goblin
Nyara Sabally | assists | 1.5 | MORE | goblin
Chelsea Gray | assists | 7 | MORE | std
Jackie Young | assists | 6.5 | MORE | std
Aliyah Boston | assists | 2.5 | MORE | goblin
Kelsey Mitchell | assists | 2.5 | MORE | goblin
A'ja Wilson | assists | 2.5 | MORE | std
# pra
Marina Mabrey | pra | 31.5 | MORE | std
Paige Bueckers | pra | 32.5 | MORE | std
Jessica Shepard | pra | 30.5 | MORE | std
Azzi Fudd | pra | 19 | MORE | std
Arike Ogunbowale | pra | 18.5 | MORE | std
Nyara Sabally | pra | 18.5 | MORE | std
A'ja Wilson | pra | 38.5 | MORE | std
Jackie Young | pra | 31 | MORE | std
Aliyah Boston | pra | 29.5 | MORE | std
Kelsey Mitchell | pra | 28.5 | MORE | std
Chelsea Gray | pra | 24.5 | MORE | std
NaLyssa Smith | pra | 19.5 | MORE | std
Monique Billings | pra | 15 | MORE | std
