date,stat,pitcher,name,book_line,book_p_over,n_books
2026-08-02,hits,Landen Roupp,landen roupp,4.5,0.5647,2
2026-08-02,hits,Kyle Freeland,kyle freeland,5.5,0.5607,1
2026-08-02,hits,Cade Cavalli,cade cavalli,4.5,0.5575,1
2026-08-02,hits,George Kirby,george kirby,4.5,0.5487,2
2026-08-02,hits,Walbert Urena,walbert urena,4.5,0.5461,3
2026-08-02,hits,Seth Lugo,seth lugo,6.5,0.5336,2
2026-08-02,hits,Jake Bennett,jake bennett,5.5,0.5113,2
2026-08-02,hits,Taj Bradley,taj bradley,4.5,0.5069,3
2026-08-02,hits,Keider Montero,keider montero,5.5,0.4951,3
2026-08-02,hits,Jacob Misiorowski,jacob misiorowski,3.5,0.481,3
2026-08-02,hits,Gavin Williams,gavin williams,1.5,0.4754,1
2026-08-02,hits,Gerrit Cole,gerrit cole,2.5,0.4754,1
2026-08-02,hits,Gage Jump,gage jump,5.5,0.4452,3
2026-08-02,hits,Emmet Sheehan,emmet sheehan,4.5,0.4448,2
2026-08-02,hits,Sandy Alcantara,sandy alcantara,3.5,0.4035,1
2026-08-02,hits,Peter Lambert,peter lambert,2.5,0.3797,1
2026-08-02,ks,Walbert Urena,walbert urena,4.5,0.563,6
2026-08-02,ks,Cade Cavalli,cade cavalli,4.5,0.5575,1
2026-08-02,ks,Landen Roupp,landen roupp,4.5,0.5523,6
2026-08-02,ks,Emmet Sheehan,emmet sheehan,5.5,0.5306,5
2026-08-02,ks,Jake Bennett,jake bennett,3.5,0.5101,5
2026-08-02,ks,Peter Lambert,peter lambert,9.5,0.5049,1
2026-08-02,ks,George Kirby,george kirby,5.5,0.4995,6
2026-08-02,ks,Taj Bradley,taj bradley,6.5,0.4959,6
2026-08-02,ks,Gage Jump,gage jump,5.5,0.4938,6
2026-08-02,ks,Gerrit Cole,gerrit cole,6.5,0.4853,1
2026-08-02,ks,Gavin Williams,gavin williams,11.5,0.4754,1
2026-08-02,ks,Jacob Misiorowski,jacob misiorowski,9.5,0.4565,5
2026-08-02,ks,Keider Montero,keider montero,3.5,0.4395,6
2026-08-02,ks,Seth Lugo,seth lugo,4.5,0.4193,5
2026-08-02,ks,Kyle Freeland,kyle freeland,4.5,0.416,5
2026-08-02,ks,Kyle Hart,kyle hart,2.5,0.382,1
2026-08-02,ks,Anthony Kay,anthony kay,2.5,0.3587,1
2026-08-02,ks,Sandy Alcantara,sandy alcantara,6.5,0.3587,1
2026-08-02,outs,George Kirby,george kirby,17.5,0.6207,2
2026-08-02,outs,Cade Cavalli,cade cavalli,17.5,0.6134,1
2026-08-02,outs,Taj Bradley,taj bradley,17.5,0.5915,3
2026-08-02,outs,Sandy Alcantara,sandy alcantara,18.5,0.5347,1
2026-08-02,outs,Landen Roupp,landen roupp,16.5,0.5147,3
2026-08-02,outs,Seth Lugo,seth lugo,16.5,0.5095,3
2026-08-02,outs,Peter Lambert,peter lambert,20.5,0.5049,1
2026-08-02,outs,Jacob Misiorowski,jacob misiorowski,17.5,0.497,1
2026-08-02,outs,Gerrit Cole,gerrit cole,18.5,0.4951,1
2026-08-02,outs,Kyle Freeland,kyle freeland,17.5,0.4832,4
2026-08-02,outs,Emmet Sheehan,emmet sheehan,16.5,0.4827,5
2026-08-02,outs,Walbert Urena,walbert urena,16.5,0.4728,4
2026-08-02,outs,Jake Bennett,jake bennett,16.5,0.4707,4
2026-08-02,outs,Gage Jump,gage jump,15.5,0.4425,3
2026-08-02,outs,Keider Montero,keider montero,15.5,0.3722,2
2026-08-02,outs,Gavin Williams,gavin williams,21.5,0.3571,1
