date,stat,pitcher,name,book,line,over_dec,under_dec
2026-07-02,hits,Bryce Miller,bryce miller,betmgm,4.5,2.25,1.6061
2026-07-02,hits,Bryce Miller,bryce miller,bovada,3.5,1.6061,2.25
2026-07-02,hits,Bryce Miller,bryce miller,draftkings,3.5,1.6061,2.24
2026-07-02,hits,Chase Burns,chase burns,betmgm,4.5,2.0,1.7407
2026-07-02,hits,Chase Burns,chase burns,bovada,4.5,2.15,1.6452
2026-07-02,hits,Chase Burns,chase burns,draftkings,4.5,2.14,1.6579
2026-07-02,hits,Davis Martin,davis martin,betmgm,5.5,1.9091,1.8333
2026-07-02,hits,Davis Martin,davis martin,bovada,5.5,1.8696,1.8
2026-07-02,hits,Davis Martin,davis martin,draftkings,5.5,1.9009,1.8403
2026-07-02,hits,Dustin May,dustin may,betmgm,5.5,2.2,1.625
2026-07-02,hits,Dustin May,dustin may,bovada,5.5,2.1,1.6667
2026-07-02,hits,Dustin May,dustin may,draftkings,5.5,2.11,1.6803
2026-07-02,hits,Framber Valdez,framber valdez,betmgm,5.5,1.8696,1.8696
2026-07-02,hits,Framber Valdez,framber valdez,bovada,5.5,1.9091,1.7692
2026-07-02,hits,Framber Valdez,framber valdez,draftkings,5.5,1.9524,1.7937
2026-07-02,hits,Ian Seymour,ian seymour,betmgm,4.5,1.6452,2.15
2026-07-02,hits,Ian Seymour,ian seymour,bovada,4.5,1.6667,2.1
2026-07-02,hits,Ian Seymour,ian seymour,draftkings,4.5,1.6623,2.13
2026-07-02,hits,Jacob Misiorowski,jacob misiorowski,betmgm,3.5,1.8696,1.8696
2026-07-02,hits,Jacob Misiorowski,jacob misiorowski,bovada,3.5,1.7407,1.9524
2026-07-02,hits,Jacob Misiorowski,jacob misiorowski,draftkings,3.5,1.7752,1.9709
2026-07-02,hits,Jared Jones,jared jones,draftkings,3.5,1.8333,1.8696
2026-07-02,hits,Michael Lorenzen,michael lorenzen,betmgm,6.5,1.9524,1.8
2026-07-02,hits,Michael Lorenzen,michael lorenzen,bovada,6.5,1.9524,1.7407
2026-07-02,hits,Michael Lorenzen,michael lorenzen,draftkings,6.5,1.9804,1.7634
2026-07-02,hits,Nathan Eovaldi,nathan eovaldi,betmgm,4.5,1.6061,2.25
2026-07-02,hits,Nathan Eovaldi,nathan eovaldi,bovada,5.5,2.1,1.6667
2026-07-02,hits,Nathan Eovaldi,nathan eovaldi,draftkings,5.5,2.12,1.6711
2026-07-02,hits,Randy Vasquez,randy vasquez,betmgm,5.5,1.9524,1.7692
2026-07-02,hits,Randy Vasquez,randy vasquez,bovada,5.5,2.15,1.6452
2026-07-02,hits,Randy Vasquez,randy vasquez,draftkings,5.5,2.15,1.6579
2026-07-02,hits,Roki Sasaki,roki sasaki,betmgm,4.5,1.8696,1.8696
2026-07-02,hits,Roki Sasaki,roki sasaki,bovada,4.5,1.9091,1.7692
2026-07-02,hits,Roki Sasaki,roki sasaki,draftkings,4.5,1.9615,1.7812
2026-07-02,hits,Ryan Gusto,ryan gusto,betmgm,5.5,2.1,1.6667
2026-07-02,hits,Ryan Gusto,ryan gusto,bovada,4.5,1.6452,2.15
2026-07-02,hits,Ryan Gusto,ryan gusto,draftkings,4.5,1.6452,2.16
2026-07-02,hits,Slade Cecconi,slade cecconi,betmgm,5.5,2.0,1.7407
2026-07-02,hits,Slade Cecconi,slade cecconi,bovada,5.5,1.8696,1.8
2026-07-02,hits,Slade Cecconi,slade cecconi,draftkings,5.5,1.9009,1.8333
2026-07-02,hits,Stephen Kolek,stephen kolek,betmgm,6.5,2.05,1.7143
2026-07-02,hits,Stephen Kolek,stephen kolek,bovada,6.5,2.1,1.6667
2026-07-02,hits,Stephen Kolek,stephen kolek,draftkings,6.5,2.13,1.6667
