date,stat,pitcher,name,book_line,book_p_over,n_books
2026-07-04,assists,Carla Leite,carla leite,6.5,0.4413,2
2026-07-04,assists,Natisha Hiedeman,natisha hiedeman,4.5,0.5718,3
2026-07-04,points,Carla Leite,carla leite,14.5,0.5,3
2026-07-04,points,Natisha Hiedeman,natisha hiedeman,15.5,0.4959,2
2026-07-04,points,Sarah Ashlee Barker,sarah ashlee barker,11.5,0.4744,3
2026-07-04,points,Awa Fam,awa fam,11.5,0.5112,2
2026-07-04,points,Dominique Malonga,dominique malonga,17.5,0.5164,3
2026-07-04,points,Megan Gustafson,megan gustafson,12.5,0.4897,3
2026-07-04,points,Flau'jae Johnson,flau'jae johnson,13.5,0.4821,2
2026-07-04,points,Bridget Carleton,bridget carleton,13.5,0.4877,3
2026-07-04,rebounds,Sarah Ashlee Barker,sarah ashlee barker,4.5,0.4373,3
2026-07-04,rebounds,Awa Fam,awa fam,5.5,0.4064,3
2026-07-04,rebounds,Dominique Malonga,dominique malonga,8.5,0.5101,3
2026-07-04,rebounds,Megan Gustafson,megan gustafson,3.5,0.5487,3
2026-07-04,rebounds,Flau'jae Johnson,flau'jae johnson,5.5,0.4473,3
2026-07-04,rebounds,Bridget Carleton,bridget carleton,3.5,0.4744,3
2026-07-04,threes,Natisha Hiedeman,natisha hiedeman,2.5,0.3964,3
2026-07-04,threes,Sarah Ashlee Barker,sarah ashlee barker,1.5,0.4723,3
2026-07-04,threes,Awa Fam,awa fam,1.5,0.5,3
2026-07-04,threes,Megan Gustafson,megan gustafson,1.5,0.4435,3
2026-07-04,threes,Flau'jae Johnson,flau'jae johnson,1.5,0.4723,3
2026-07-04,threes,Bridget Carleton,bridget carleton,2.5,0.4604,3
2026-07-04,rebounds,Carla Leite,carla leite,2.5,0.443,2
2026-07-04,rebounds,Natisha Hiedeman,natisha hiedeman,2.5,0.4572,2
2026-07-04,threes,Carla Leite,carla leite,0.5,0.6085,2
2026-07-04,assists,Marina Mabrey,marina mabrey,3.5,0.5728,3
2026-07-04,assists,Jessica Shepard,jessica shepard,4.5,0.5396,3
