date,stat,pitcher,opp,line,home,mu,side,p_hit,conf,n_prior,actual,leg_result
2026-06-30,hits,Jacob deGrom,Cleveland Guardians,3.5,0,5.01,MORE,0.737,0.237,16,4,win
2026-06-30,hits,José Soriano,Seattle Mariners,4.5,0,5.34,MORE,0.617,0.117,17,6,win
2026-06-30,hits,Jeffrey Springs,Los Angeles Dodgers,5.5,1,5.06,LESS,0.606,0.106,17,8,loss
2026-06-30,hits,Kevin Gausman,New York Mets,4.5,1,5.27,MORE,0.605,0.105,17,5,win
2026-06-30,hits,Connelly Early,Washington Nationals,4.5,1,5.23,MORE,0.6,0.1,16,3,loss
2026-06-30,hits,Bryan Woo,Los Angeles Angels,4.5,1,5.19,MORE,0.593,0.093,16,4,loss
2026-06-30,hits,Landen Roupp,Arizona Diamondbacks,4.5,0,5.16,MORE,0.588,0.088,16,5,win
2026-06-30,hits,Nolan McLean,Toronto Blue Jays,4.5,0,5.12,MORE,0.58,0.08,16,5,win
2026-06-30,hits,Cam Schlittler,Detroit Tigers,4.5,1,5.1,MORE,0.577,0.077,17,7,win
2026-06-30,hits,Joe Ryan,Houston Astros,4.5,0,5.05,MORE,0.568,0.068,17,6,win
2026-06-30,hits,Tanner Bibee,Texas Rangers,4.5,1,4.97,MORE,0.554,0.054,17,5,win
2026-06-30,hits,Cristopher Sánchez,Pittsburgh Pirates,5.5,1,5.86,MORE,0.531,0.031,17,3,loss
2026-06-30,hits,Justin Wrobleski,Athletics,5.5,0,5.6,LESS,0.511,0.011,13,7,loss
