date,name,stat,line,side,edge,actual,result,tier
2026-07-02,Sonia Citron,rebounds,2.5,MORE,0.037,,,okay
2026-07-02,Jordin Canada,rebounds,2.5,MORE,0.047,3.0,win,okay
2026-07-02,Aaliyah Edwards,rebounds,2.5,MORE,0.096,3.0,win,good
2026-07-02,Arike Ogunbowale,rebounds,2.5,MORE,0.033,2.0,loss,okay
2026-07-02,Azzi Fudd,rebounds,1.5,MORE,0.067,4.0,win,okay
2026-07-02,Flau'jae Johnson,rebounds,3.5,MORE,0.156,3.0,loss,great
2026-07-02,Kahleah Copper,rebounds,2.5,MORE,0.139,7.0,win,great
2026-07-02,Natisha Hiedeman,rebounds,1.5,MORE,0.048,4.0,win,okay
2026-07-02,Jade Melbourne,rebounds,1.5,MORE,0.039,4.0,win,okay
2026-07-02,Natasha Howard,rebounds,6.5,MORE,0.073,,,good
2026-07-02,Kayla McBride,rebounds,2.5,MORE,0.053,,,okay
2026-07-02,Rhyne Howard,assists,2.5,MORE,0.041,3.0,win,okay
2026-07-02,Shakira Austin,assists,1.5,MORE,0.177,3.0,win,great
2026-07-02,Allisha Gray,assists,1.5,MORE,0.079,3.0,win,good
2026-07-02,Leila Lacan,assists,3.5,MORE,0.061,5.0,win,okay
2026-07-02,Charlisse Leger-Walker,assists,2.5,MORE,0.047,1.0,loss,okay
2026-07-02,Breanna Stewart,assists,2.5,MORE,0.044,,,okay
2026-07-02,Charlisse Leger-Walker,points,5.5,MORE,0.153,14.0,win,great
2026-07-02,Kayla McBride,points,14.5,MORE,0.071,,,good
2026-07-03,Breanna Stewart,points,14.5,MORE,0.268,36.0,win,great
2026-07-03,Nia Coffey,points,8.5,MORE,0.094,7.0,loss,good
2026-07-03,Kayla McBride,rebounds,2.5,MORE,0.056,1.0,loss,okay
2026-07-03,Pauline Astier,rebounds,1.5,MORE,0.188,2.0,win,great
2026-07-03,Leonie Fiebich,rebounds,1.5,MORE,0.164,3.0,win,great
2026-07-03,Jackie Young,rebounds,4.5,MORE,0.03,6.0,win,okay
2026-07-03,Natasha Cloud,rebounds,1.5,MORE,0.189,3.0,win,great
2026-07-03,Kayla McBride,assists,1.5,MORE,0.144,1.0,loss,great
2026-07-03,Nia Coffey,assists,1.5,MORE,0.088,3.0,win,good
2026-07-03,Courtney Vandersloot,assists,3.5,MORE,0.063,3.0,loss,okay
2026-07-03,Natasha Cloud,assists,2.5,MORE,0.09,5.0,win,good
2026-07-03,Kamilla Cardoso,assists,1.5,MORE,0.127,4.0,win,great
2026-07-03,Natasha Howard,pra,26.5,MORE,0.061,15.0,loss,okay
2026-07-03,Sabrina Ionescu,threes,1.5,MORE,0.064,3.0,win,threes
2026-07-03,Olivia Miles,threes,0.5,MORE,0.115,0.0,loss,threes
2026-07-03,Leonie Fiebich,threes,0.5,MORE,0.205,3.0,win,threes
2026-07-03,Courtney Williams,threes,0.5,MORE,0.121,2.0,win,threes
2026-07-03,Nia Coffey,threes,0.5,MORE,0.195,1.0,win,threes
2026-07-03,Chelsea Gray,threes,1.5,MORE,0.069,0.0,loss,threes
2026-07-03,Jackie Young,threes,1.5,MORE,0.083,0.0,loss,threes
2026-07-03,Azura Stevens,threes,0.5,MORE,0.115,0.0,loss,threes
2026-07-04,Angel Reese,rebounds,10.5,MORE,0.05,13.0,win,okay
2026-07-04,Allisha Gray,rebounds,2.5,MORE,0.031,4.0,win,okay
2026-07-04,Janelle Salaun,rebounds,2.5,MORE,0.053,2.0,loss,okay
2026-07-04,Veronica Burton,rebounds,2.5,MORE,0.042,1.0,loss,okay
2026-07-04,Jordin Canada,rebounds,2.5,MORE,0.043,4.0,win,okay
2026-07-04,Rhyne Howard,assists,2.5,MORE,0.056,3.0,win,okay
2026-07-04,Allisha Gray,assists,1.5,MORE,0.08,3.0,win,good
2026-07-04,Rhyne Howard,threes,1.5,MORE,0.177,4.0,win,threes
2026-07-04,Veronica Burton,threes,0.5,MORE,0.127,2.0,win,threes
2026-07-04,Cecilia Zandalasini,threes,0.5,MORE,0.146,1.0,win,threes
2026-07-04,Jordin Canada,threes,0.5,MORE,0.033,1.0,win,threes
2026-07-04,Kayla Thornton,threes,0.5,MORE,0.169,0.0,loss,threes
2026-07-04,Bridget Carleton,threes,1.5,MORE,0.104,,,threes
2026-07-04,Megan Gustafson,threes,0.5,MORE,0.163,,,threes
2026-07-04,Sarah Ashlee Barker,threes,0.5,MORE,0.187,,,threes
2026-07-04,Megan Gustafson,rebounds,2.5,MORE,0.148,,,great
2026-07-04,Carla Leite,rebounds,1.5,MORE,0.102,,,good
2026-07-04,Natisha Hiedeman,rebounds,1.5,MORE,0.114,,,good
2026-07-04,Natisha Hiedeman,assists,3.5,MORE,0.145,,,great
